t2_id,origin_id,source
t2-0699,real-0701,youtube-tutorials
t2-0700,real-0702,youtube-tutorials
t2-0701,real-0703,youtube-tutorials
t2-0702,real-0704,youtube-tutorials
t2-0703,real-0705,youtube-tutorials
t2-0704,real-0706,youtube-tutorials
t2-0705,real-0707,youtube-tutorials
t2-0706,real-0708,youtube-tutorials
t2-0707,real-0709,youtube-tutorials
t2-0708,real-0711,youtube-tutorials
t2-0709,real-0712,youtube-tutorials
t2-0710,real-0713,youtube-tutorials
t2-0711,real-0714,youtube-tutorials
t2-0712,real-0715,youtube-tutorials
t2-0713,real-0716,youtube-tutorials
t2-0714,real-0717,youtube-tutorials
t2-0715,real-0718,youtube-tutorials
t2-0716,real-0719,youtube-tutorials
t2-0717,real-0720,youtube-tutorials
t2-0718,real-0721,youtube-tutorials
t2-0719,real-0722,youtube-tutorials
t2-0720,real-0723,youtube-tutorials
t2-0721,real-0724,youtube-tutorials
t2-0722,real-0725,youtube-tutorials
t2-0723,real-0726,youtube-tutorials
t2-0724,real-0727,youtube-tutorials
t2-0725,real-0728,youtube-tutorials
t2-0726,real-0729,youtube-tutorials
t2-0727,real-0730,youtube-tutorials
t2-0728,real-0731,youtube-tutorials
t2-0729,real-0732,youtube-tutorials
t2-0730,real-0733,youtube-tutorials
t2-0731,real-0734,youtube-tutorials
t2-0732,real-0735,youtube-tutorials
t2-0733,real-0736,youtube-tutorials
t2-0734,real-0737,youtube-tutorials
t2-0735,real-0738,youtube-tutorials
t2-0736,real-0739,youtube-tutorials
t2-0737,real-0740,youtube-tutorials
t2-0738,real-0741,youtube-tutorials
t2-0739,real-0742,youtube-tutorials
t2-0740,real-0743,youtube-tutorials
t2-0741,real-0744,youtube-tutorials
t2-0742,real-0745,youtube-tutorials
t2-0743,real-0746,youtube-tutorials
t2-0744,real-0747,youtube-tutorials
t2-0745,real-0748,youtube-tutorials
t2-0746,real-0749,youtube-tutorials
t2-0747,real-0750,youtube-tutorials
t2-0748,real-0751,youtube-tutorials
t2-0749,real-0752,youtube-tutorials
t2-0750,real-0753,youtube-tutorials
t2-0751,real-0754,youtube-tutorials
t2-0752,real-0755,youtube-tutorials
t2-0753,real-0756,youtube-tutorials
t2-0754,real-0757,youtube-tutorials
t2-0755,real-0758,youtube-tutorials
t2-0756,real-0759,youtube-tutorials
t2-0757,real-0760,youtube-tutorials
t2-0758,real-0761,youtube-tutorials
t2-0759,real-0762,youtube-tutorials
t2-0760,real-0763,youtube-tutorials
t2-0761,real-0764,youtube-tutorials
t2-0762,real-0765,youtube-tutorials
t2-0763,real-0766,youtube-tutorials
t2-0764,real-0767,youtube-tutorials
t2-0765,real-0768,youtube-tutorials
t2-0766,real-0769,youtube-tutorials
t2-0767,real-0770,youtube-tutorials
t2-0768,real-0771,youtube-tutorials
t2-0769,real-0772,youtube-tutorials
t2-0770,real-0773,youtube-tutorials
t2-0771,real-0774,youtube-tutorials
t2-0772,real-0775,youtube-tutorials
t2-0773,real-0776,youtube-tutorials
t2-0774,real-0777,youtube-tutorials
t2-0775,real-0779,youtube-tutorials
t2-0776,real-0780,youtube-tutorials
t2-0777,real-0781,youtube-tutorials
t2-0778,real-0782,youtube-tutorials
t2-0779,real-0783,youtube-tutorials
t2-0780,real-0784,youtube-tutorials
t2-0781,real-0785,youtube-tutorials
t2-0782,real-0786,youtube-tutorials
t2-0783,real-0787,youtube-tutorials
t2-0784,real-0788,youtube-tutorials
t2-0785,real-0789,youtube-tutorials
t2-0786,real-0790,youtube-tutorials
t2-0787,real-0792,youtube-tutorials
t2-0788,real-0793,youtube-tutorials
t2-0789,real-0794,youtube-tutorials
t2-0790,real-0795,youtube-tutorials
t2-0791,real-0796,youtube-tutorials
t2-0792,real-0797,youtube-tutorials
t2-0793,real-0798,youtube-tutorials
t2-0794,real-0799,youtube-tutorials
t2-0795,real-0800,youtube-tutorials
t2-0796,real-0801,youtube-tutorials
t2-0797,real-0802,youtube-tutorials
t2-0798,real-0803,youtube-tutorials
t2-0799,real-0804,youtube-tutorials
t2-0800,real-0805,youtube-tutorials
t2-0801,real-0806,youtube-tutorials
t2-0802,real-0807,youtube-tutorials
t2-0803,real-0808,youtube-tutorials
t2-0804,real-0809,youtube-tutorials
t2-0805,real-0810,youtube-tutorials
t2-0806,gold,youtube-real-insults
t2-0807,gold,youtube-real-insults
t2-0808,gold,youtube-real-insults
t2-0809,gold,youtube-real-insults
t2-0810,gold,youtube-real-insults
t2-0811,gold,youtube-real-insults
t2-0812,gold,youtube-real-insults
t2-0813,gold,youtube-real-insults
t2-0814,gold,youtube-real-insults
t2-0815,gold,youtube-real-insults
t2-0816,gold,youtube-real-insults
t2-0817,gold,youtube-real-insults
t2-0818,gold,youtube-real-insults
t2-0819,gold,youtube-real-insults
t2-0820,gold,youtube-real-insults
t2-0821,gold,youtube-real-insults
t2-0822,gold,youtube-real-insults
t2-0823,gold,youtube-real-insults
t2-0824,gold,youtube-real-insults
t2-0825,gold,youtube-real-insults
t2-0826,gold,youtube-real-insults
t2-0827,gold,youtube-real-insults
t2-0828,gold,youtube-real-insults
t2-0829,gold,youtube-real-insults
t2-0830,gold,youtube-real-insults
t2-0831,gold,youtube-real-insults
t2-0832,gold,youtube-real-insults
t2-0833,gold,youtube-real-insults
t2-0834,gold,youtube-real-insults
t2-0835,gold,youtube-real-insults
t2-0836,gold,youtube-real-insults
t2-0837,gold,youtube-real-insults
t2-0838,gold,youtube-real-insults
t2-0839,gold,youtube-real-insults
t2-0840,gold,youtube-real-insults
t2-0841,gold,youtube-real-insults
t2-0842,gold,youtube-real-insults
t2-0843,gold,youtube-real-insults
t2-0844,gold,youtube-real-insults
t2-0845,gold,youtube-real-insults
t2-0846,gold,youtube-real-insults
t2-0847,gold,youtube-real-insults
t2-0848,gold,youtube-real-insults
t2-0849,gold,youtube-real-insults
t2-0850,gold,youtube-real-insults
t2-0851,gold,youtube-real-insults
t2-0852,gold,youtube-real-insults
t2-0853,gold,youtube-real-insults
t2-0854,gold,youtube-real-insults
t2-0855,gold,youtube-real-insults
t2-0856,gold,youtube-real-insults
t2-0857,gold,youtube-real-insults
t2-0858,gold,youtube-real-insults
t2-0859,gold,youtube-real-insults
t2-0860,gold,youtube-real-insults
t2-0861,gold,youtube-real-insults
t2-0862,gold,youtube-real-insults
t2-0863,gold,youtube-real-insults
t2-0864,gold,youtube-real-insults
t2-0865,gold,youtube-real-insults
t2-0866,gold,youtube-real-insults
t2-0867,gold,youtube-real-insults
t2-0868,gold,youtube-real-insults
t2-0869,gold,youtube-real-insults
t2-0870,gold,youtube-real-insults
t2-0871,gold,youtube-real-insults
t2-0872,gold,youtube-real-insults
t2-0873,gold,youtube-real-insults
t2-0874,gold,youtube-real-insults
t2-0875,gold,youtube-real-insults
t2-0876,gold,youtube-real-insults
t2-0877,gold,youtube-real-insults
t2-0878,gold,youtube-real-insults
t2-0879,gold,youtube-real-insults
t2-0880,gold,youtube-real-insults
t2-0881,gold,youtube-real-insults
t2-0882,gold,youtube-real-insults
t2-0883,gold,youtube-real-insults
t2-0884,spm-0001,spammodel-sms-spam
t2-0885,spm-0002,spammodel-similar-spam
t2-0886,spm-0003,spammodel-similar-spam
t2-0887,spm-0004,spammodel-sms-spam
t2-0888,spm-0005,spammodel-extra-spam
t2-0889,spm-0006,spammodel-finglish-ham
t2-0890,spm-0007,spammodel-formal-scam
t2-0891,spm-0008,spammodel-sms-spam
t2-0892,spm-0009,spammodel-phishing
t2-0893,spm-0010,spammodel-extra-spam
t2-0894,spm-0011,spammodel-sms-spam
t2-0895,spm-0012,spammodel-similar-spam
t2-0896,spm-0013,spammodel-phishing
t2-0897,spm-0014,spammodel-extra-spam
t2-0898,spm-0015,spammodel-sms-spam
t2-0899,spm-0016,spammodel-sms-spam
t2-0900,spm-0017,spammodel-similar-spam
t2-0901,spm-0018,spammodel-sms-spam
t2-0902,spm-0019,spammodel-extra-spam
t2-0903,spm-0020,spammodel-sms-spam
t2-0904,spm-0021,spammodel-sms-spam
t2-0905,spm-0022,spammodel-formal-scam
t2-0906,spm-0023,spammodel-formal-scam
t2-0907,spm-0024,spammodel-sms-spam
t2-0908,spm-0025,spammodel-similar-spam
t2-0909,spm-0026,spammodel-sms-spam
t2-0910,spm-0027,spammodel-finglish-ham
t2-0911,spm-0028,spammodel-phishing
t2-0912,spm-0029,spammodel-phishing
t2-0913,spm-0030,spammodel-formal-scam
t2-0914,spm-0031,spammodel-similar-spam
t2-0915,spm-0032,spammodel-sms-spam
t2-0916,spm-0033,spammodel-phishing
t2-0917,spm-0034,spammodel-formal-scam
t2-0918,spm-0035,spammodel-finglish-ham
t2-0919,spm-0036,spammodel-finglish-ham
t2-0920,spm-0037,spammodel-similar-spam
t2-0921,spm-0038,spammodel-similar-spam
t2-0922,spm-0039,spammodel-sms-spam
t2-0923,spm-0040,spammodel-sms-spam
t2-0924,spm-0041,spammodel-phishing
t2-0925,spm-0042,spammodel-sms-spam
t2-0926,spm-0043,spammodel-phishing
t2-0927,spm-0044,spammodel-formal-scam
t2-0928,spm-0045,spammodel-similar-spam
t2-0929,spm-0046,spammodel-formal-scam
t2-0930,spm-0047,spammodel-sms-spam
t2-0931,spm-0048,spammodel-formal-scam
t2-0932,spm-0049,spammodel-extra-spam
t2-0933,spm-0050,spammodel-phishing
t2-0934,spm-0051,spammodel-formal-scam
t2-0935,spm-0052,spammodel-finglish-ham
t2-0936,spm-0053,spammodel-phishing
t2-0937,spm-0054,spammodel-extra-spam
t2-0938,spm-0055,spammodel-phishing
t2-0939,spm-0056,spammodel-sms-spam
t2-0940,spm-0057,spammodel-formal-scam
t2-0941,spm-0058,spammodel-sms-spam
t2-0942,spm-0059,spammodel-sms-spam
t2-0943,spm-0060,spammodel-sms-spam
t2-0944,spm-0061,spammodel-extra-spam
t2-0945,spm-0062,spammodel-phishing
t2-0946,spm-0063,spammodel-similar-spam
t2-0947,spm-0064,spammodel-extra-spam
t2-0948,spm-0065,spammodel-extra-spam
t2-0949,spm-0066,spammodel-sms-spam
t2-0950,spm-0067,spammodel-sms-spam
t2-0951,spm-0068,spammodel-sms-spam
t2-0952,spm-0069,spammodel-sms-spam
t2-0953,spm-0070,spammodel-similar-spam
t2-0954,spm-0071,spammodel-extra-spam
t2-0955,spm-0072,spammodel-formal-scam
t2-0956,spm-0073,spammodel-similar-spam
t2-0957,spm-0074,spammodel-phishing
t2-0958,spm-0075,spammodel-extra-spam
t2-0959,spm-0076,spammodel-sms-spam
t2-0960,spm-0077,spammodel-sms-spam
t2-0961,spm-0078,spammodel-formal-scam
t2-0962,spm-0079,spammodel-extra-spam
t2-0963,spm-0080,spammodel-sms-spam
t2-0964,spm-0081,spammodel-similar-spam
t2-0965,spm-0082,spammodel-formal-scam
t2-0966,spm-0083,spammodel-sms-spam
t2-0967,spm-0084,spammodel-similar-spam
t2-0968,spm-0085,spammodel-similar-spam
t2-0969,spm-0086,spammodel-formal-scam
t2-0970,spm-0087,spammodel-sms-spam
t2-0971,spm-0088,spammodel-sms-spam
t2-0972,spm-0089,spammodel-sms-spam
t2-0973,spm-0090,spammodel-sms-spam
t2-0974,spm-0091,spammodel-extra-spam
t2-0975,spm-0092,spammodel-finglish-ham
t2-0976,spm-0093,spammodel-extra-spam
t2-0977,spm-0094,spammodel-similar-spam
t2-0978,spm-0095,spammodel-phishing
t2-0979,spm-0096,spammodel-similar-spam
t2-0980,spm-0097,spammodel-sms-spam
t2-0981,spm-0098,spammodel-sms-spam
t2-0982,spm-0099,spammodel-sms-spam
t2-0983,spm-0100,spammodel-similar-spam
t2-0984,spm-0101,spammodel-formal-scam
t2-0985,spm-0102,spammodel-similar-spam
t2-0986,spm-0103,spammodel-sms-spam
t2-0987,spm-0104,spammodel-formal-scam
t2-0988,spm-0105,spammodel-similar-spam
t2-0989,spm-0106,spammodel-formal-scam
t2-0990,spm-0107,spammodel-extra-spam
t2-0991,spm-0108,spammodel-formal-scam
t2-0992,spm-0109,spammodel-sms-spam
t2-0993,spm-0110,spammodel-similar-spam
t2-0994,spm-0111,spammodel-similar-spam
t2-0995,spm-0112,spammodel-similar-spam
t2-0996,spm-0113,spammodel-extra-spam
t2-0997,spm-0114,spammodel-sms-spam
t2-0998,spm-0115,spammodel-similar-spam
t2-0999,spm-0116,spammodel-sms-spam
t2-1000,spm-0117,spammodel-sms-spam
t2-1001,spm-0118,spammodel-formal-scam
t2-1002,spm-0119,spammodel-similar-spam
t2-1003,spm-0120,spammodel-finglish-ham
t2-1004,spm-0121,spammodel-formal-scam
t2-1005,spm-0122,spammodel-similar-spam
t2-1006,spm-0123,spammodel-formal-scam
t2-1007,spm-0124,spammodel-sms-spam
t2-1008,spm-0125,spammodel-finglish-ham
t2-1009,spm-0126,spammodel-formal-scam
t2-1010,spm-0127,spammodel-similar-spam
t2-1011,spm-0128,spammodel-formal-scam
t2-1012,spm-0129,spammodel-sms-spam
t2-1013,spm-0130,spammodel-extra-spam
t2-1014,spm-0131,spammodel-sms-spam
t2-1015,spm-0132,spammodel-phishing
t2-1016,spm-0133,spammodel-similar-spam
t2-1017,spm-0134,spammodel-sms-spam
t2-1018,spm-0135,spammodel-formal-scam
t2-1019,spm-0136,spammodel-extra-spam
t2-1020,spm-0137,spammodel-sms-spam
t2-1021,spm-0138,spammodel-similar-spam
t2-1022,spm-0139,spammodel-sms-spam
t2-1023,spm-0140,spammodel-sms-spam
t2-1024,spm-0141,spammodel-sms-spam
t2-1025,spm-0142,spammodel-phishing
t2-1026,spm-0143,spammodel-sms-spam
t2-1027,spm-0144,spammodel-extra-spam
t2-1028,spm-0145,spammodel-extra-spam
t2-1029,spm-0146,spammodel-sms-spam
t2-1030,spm-0147,spammodel-extra-spam
t2-1031,spm-0148,spammodel-extra-spam
t2-1032,spm-0149,spammodel-similar-spam
t2-1033,spm-0150,spammodel-sms-spam
t2-1034,spm-0151,spammodel-sms-spam
t2-1035,spm-0152,spammodel-sms-spam
t2-1036,spm-0153,spammodel-sms-spam
t2-1037,spm-0154,spammodel-sms-spam
t2-1038,spm-0155,spammodel-similar-spam
t2-1039,spm-0156,spammodel-phishing
t2-1040,spm-0157,spammodel-similar-spam
t2-1041,spm-0158,spammodel-finglish-ham
t2-1042,spm-0159,spammodel-similar-spam
t2-1043,spm-0160,spammodel-sms-spam
t2-1044,spm-0161,spammodel-sms-spam
t2-1045,spm-0162,spammodel-finglish-ham
t2-1046,spm-0163,spammodel-phishing
t2-1047,spm-0164,spammodel-sms-spam
t2-1048,spm-0165,spammodel-sms-spam
t2-1049,spm-0166,spammodel-finglish-contact
t2-1050,spm-0167,spammodel-extra-spam
t2-1051,spm-0168,spammodel-finglish-contact
t2-1052,spm-0169,spammodel-finglish-contact
t2-1053,spm-0170,spammodel-formal-scam
t2-1054,spm-0171,spammodel-finglish-ham
t2-1055,spm-0172,spammodel-similar-spam
t2-1056,spm-0173,spammodel-extra-spam
t2-1057,spm-0174,spammodel-similar-spam
t2-1058,spm-0175,spammodel-similar-spam
t2-1059,spm-0176,spammodel-phishing
t2-1060,spm-0177,spammodel-sms-spam
t2-1061,spm-0178,spammodel-phishing
t2-1062,spm-0179,spammodel-sms-spam
t2-1063,spm-0180,spammodel-finglish-ham
t2-1064,spm-0181,spammodel-formal-scam
t2-1065,spm-0182,spammodel-sms-spam
t2-1066,spm-0183,spammodel-sms-spam
t2-1067,spm-0184,spammodel-finglish-contact
t2-1068,spm-0185,spammodel-formal-scam
t2-1069,spm-0186,spammodel-formal-scam
t2-1070,spm-0187,spammodel-sms-spam
t2-1071,spm-0188,spammodel-sms-spam
t2-1072,spm-0189,spammodel-extra-spam
t2-1073,spm-0190,spammodel-finglish-contact
t2-1074,spm-0191,spammodel-phishing
t2-1075,spm-0192,spammodel-sms-spam
t2-1076,spm-0193,spammodel-extra-spam
t2-1077,spm-0194,spammodel-phishing
t2-1078,spm-0195,spammodel-similar-spam
t2-1079,spm-0196,spammodel-formal-scam
t2-1080,spm-0197,spammodel-similar-spam
t2-1081,spm-0198,spammodel-finglish-ham
t2-1082,spm-0199,spammodel-sms-spam
t2-1083,spm-0200,spammodel-formal-scam
t2-1084,spm-0201,spammodel-similar-spam
t2-1085,spm-0202,spammodel-finglish-ham
t2-1086,spm-0203,spammodel-phishing
t2-1087,spm-0204,spammodel-extra-spam
t2-1088,spm-0205,spammodel-sms-spam
t2-1089,spm-0206,spammodel-sms-spam
t2-1090,spm-0207,spammodel-finglish-ham
t2-1091,spm-0208,spammodel-formal-scam
t2-1092,spm-0209,spammodel-phishing
t2-1093,spm-0210,spammodel-phishing
t2-1094,spm-0211,spammodel-phishing
t2-1095,spm-0212,spammodel-similar-spam
t2-1096,spm-0213,spammodel-extra-spam
t2-1097,spm-0214,spammodel-similar-spam
t2-1098,spm-0215,spammodel-sms-spam
t2-1099,spm-0216,spammodel-extra-spam
t2-1100,spm-0217,spammodel-finglish-ham
t2-1101,spm-0218,spammodel-extra-spam
t2-1102,spm-0219,spammodel-sms-spam
t2-1103,spm-0220,spammodel-similar-spam
t2-1104,spm-0221,spammodel-finglish-contact
t2-1105,spm-0222,spammodel-similar-spam
t2-1106,spm-0223,spammodel-sms-spam
t2-1107,spm-0224,spammodel-sms-spam
t2-1108,spm-0225,spammodel-formal-scam
t2-1109,spm-0226,spammodel-sms-spam
t2-1110,spm-0227,spammodel-sms-spam
t2-1111,spm-0228,spammodel-sms-spam
t2-1112,spm-0229,spammodel-sms-spam
t2-1113,spm-0230,spammodel-phishing
t2-1114,spm-0231,spammodel-extra-spam
t2-1115,spm-0232,spammodel-sms-spam
t2-1116,spm-0233,spammodel-sms-spam
t2-1117,spm-0234,spammodel-sms-spam
t2-1118,spm-0235,spammodel-formal-scam
t2-1119,spm-0236,spammodel-phishing
t2-1120,spm-0237,spammodel-sms-spam
t2-1121,spm-0238,spammodel-sms-spam
t2-1122,spm-0239,spammodel-sms-spam
t2-1123,spm-0240,spammodel-similar-spam
t2-1124,spm-0241,spammodel-phishing
t2-1125,spm-0242,spammodel-similar-spam
t2-1126,spm-0243,spammodel-extra-spam
t2-1127,spm-0244,spammodel-finglish-ham
t2-1128,spm-0245,spammodel-sms-spam
t2-1129,spm-0246,spammodel-phishing
t2-1130,spm-0247,spammodel-sms-spam
t2-1131,spm-0248,spammodel-formal-scam
t2-1132,spm-0249,spammodel-sms-spam
t2-1133,spm-0250,spammodel-phishing
t2-1134,spm-0251,spammodel-sms-spam
t2-1135,spm-0252,spammodel-extra-spam
t2-1136,spm-0253,spammodel-sms-spam
t2-1137,spm-0254,spammodel-similar-spam
t2-1138,spm-0255,spammodel-extra-spam
t2-1139,spm-0256,spammodel-sms-spam
t2-1140,spm-0257,spammodel-formal-scam
t2-1141,spm-0258,spammodel-sms-spam
t2-1142,spm-0259,spammodel-extra-spam
t2-1143,spm-0260,spammodel-extra-spam
t2-1144,spm-0261,spammodel-similar-spam
t2-1145,spm-0262,spammodel-sms-spam
t2-1146,spm-0263,spammodel-phishing
t2-1147,spm-0264,spammodel-extra-spam
t2-1148,spm-0265,spammodel-similar-spam
t2-1149,spm-0266,spammodel-sms-spam
t2-1150,spm-0267,spammodel-similar-spam
t2-1151,spm-0268,spammodel-phishing
t2-1152,spm-0269,spammodel-similar-spam
t2-1153,spm-0270,spammodel-formal-scam
t2-1154,spm-0271,spammodel-finglish-contact
t2-1155,spm-0272,spammodel-extra-spam
t2-1156,spm-0273,spammodel-sms-spam
t2-1157,spm-0274,spammodel-sms-spam
t2-1158,spm-0275,spammodel-similar-spam
t2-1159,spm-0276,spammodel-phishing
t2-1160,spm-0277,spammodel-formal-scam
t2-1161,spm-0278,spammodel-sms-spam
t2-1162,spm-0279,spammodel-extra-spam
t2-1163,spm-0280,spammodel-formal-scam
t2-1164,spm-0281,spammodel-phishing
t2-1165,spm-0282,spammodel-extra-spam
t2-1166,spm-0283,spammodel-finglish-ham
t2-1167,spm-0284,spammodel-sms-spam
t2-1168,spm-0285,spammodel-finglish-contact
t2-1169,spm-0286,spammodel-sms-spam
t2-1170,spm-0287,spammodel-formal-scam
t2-1171,spm-0288,spammodel-sms-spam
t2-1172,spm-0289,spammodel-sms-spam
t2-1173,spm-0290,spammodel-finglish-ham
t2-1174,spm-0291,spammodel-similar-spam
t2-1175,spm-0292,spammodel-finglish-ham
t2-1176,spm-0293,spammodel-formal-scam
t2-1177,spm-0294,spammodel-phishing
t2-1178,spm-0295,spammodel-phishing
t2-1179,spm-0296,spammodel-similar-spam
t2-1180,spm-0297,spammodel-sms-spam
t2-1181,spm-0298,spammodel-sms-spam
t2-1182,spm-0299,spammodel-similar-spam
t2-1183,spm-0300,spammodel-formal-scam
t2-1184,spm-0301,spammodel-formal-scam
t2-1185,spm-0302,spammodel-sms-spam
t2-1186,spm-0303,spammodel-sms-spam
t2-1187,spm-0304,spammodel-sms-spam
t2-1188,spm-0305,spammodel-phishing
t2-1189,spm-0306,spammodel-sms-spam
t2-1190,spm-0307,spammodel-formal-scam
t2-1191,spm-0308,spammodel-similar-spam
t2-1192,spm-0309,spammodel-extra-spam
t2-1193,spm-0310,spammodel-phishing
t2-1194,spm-0311,spammodel-sms-spam
t2-1195,spm-0312,spammodel-sms-spam
t2-1196,spm-0313,spammodel-finglish-contact
t2-1197,spm-0314,spammodel-sms-spam
t2-1198,spm-0315,spammodel-phishing
t2-1199,spm-0316,spammodel-finglish-ham
t2-1200,spm-0317,spammodel-extra-spam
t2-1201,spm-0318,spammodel-extra-spam
t2-1202,spm-0319,spammodel-formal-scam
t2-1203,spm-0320,spammodel-sms-spam
t2-1204,spm-0321,spammodel-sms-spam
t2-1205,spm-0322,spammodel-sms-spam
t2-1206,spm-0323,spammodel-similar-spam
t2-1207,spm-0324,spammodel-sms-spam
t2-1208,spm-0325,spammodel-sms-spam
t2-1209,spm-0326,spammodel-phishing
t2-1210,spm-0327,spammodel-extra-spam
t2-1211,spm-0328,spammodel-extra-spam
t2-1212,spm-0329,spammodel-finglish-ham
t2-1213,spm-0330,spammodel-sms-spam
t2-1214,spm-0331,spammodel-extra-spam
t2-1215,spm-0332,spammodel-similar-spam
t2-1216,spm-0333,spammodel-similar-spam
t2-1217,spm-0334,spammodel-sms-spam
t2-1218,spm-0335,spammodel-phishing
t2-1219,spm-0336,spammodel-formal-scam
t2-1220,spm-0337,spammodel-sms-spam
t2-1221,spm-0338,spammodel-sms-spam
t2-1222,spm-0339,spammodel-sms-spam
t2-1223,spm-0340,spammodel-phishing
t2-1224,spm-0341,spammodel-sms-spam
t2-1225,spm-0342,spammodel-sms-spam
t2-1226,spm-0343,spammodel-sms-spam
t2-1227,spm-0344,spammodel-extra-spam
t2-1228,spm-0345,spammodel-phishing
t2-1229,spm-0346,spammodel-finglish-ham
t2-1230,spm-0347,spammodel-similar-spam
t2-1231,spm-0348,spammodel-phishing
t2-1232,spm-0349,spammodel-similar-spam
t2-1233,spm-0350,spammodel-phishing
t2-1234,spm-0351,spammodel-finglish-ham
t2-1235,spm-0352,spammodel-sms-spam
t2-1236,spm-0353,spammodel-extra-spam
t2-1237,spm-0354,spammodel-phishing
t2-1238,spm-0355,spammodel-phishing
t2-1239,spm-0356,spammodel-sms-spam
t2-1240,spm-0357,spammodel-sms-spam
t2-1241,spm-0358,spammodel-phishing
t2-1242,spm-0359,spammodel-formal-scam
t2-1243,spm-0360,spammodel-phishing
t2-1244,spm-0361,spammodel-formal-scam
t2-1245,spm-0362,spammodel-finglish-ham
t2-1246,spm-0363,spammodel-formal-scam
t2-1247,spm-0364,spammodel-formal-scam
t2-1248,spm-0365,spammodel-sms-spam
t2-1249,spm-0366,spammodel-extra-spam
t2-1250,spm-0367,spammodel-extra-spam
t2-1251,spm-0368,spammodel-phishing
t2-1252,spm-0369,spammodel-sms-spam
t2-1253,spm-0370,spammodel-sms-spam
t2-1254,spm-0371,spammodel-sms-spam
t2-1255,spm-0372,spammodel-finglish-ham
t2-1256,spm-0373,spammodel-sms-spam
t2-1257,spm-0374,spammodel-sms-spam
t2-1258,spm-0375,spammodel-formal-scam
t2-1259,gen-0001,gen-criticism
t2-1260,gen-0002,gen-criticism
t2-1261,gen-0003,gen-criticism
t2-1262,gen-0004,gen-criticism
t2-1263,gen-0005,gen-criticism
t2-1264,gen-0006,gen-criticism
t2-1265,gen-0007,gen-criticism
t2-1266,gen-0008,gen-criticism
t2-1267,gen-0009,gen-criticism
t2-1268,gen-0010,gen-criticism
t2-1269,gen-0011,gen-criticism
t2-1270,gen-0012,gen-criticism
t2-1271,gen-0013,gen-criticism
t2-1272,gen-0014,gen-criticism
t2-1273,gen-0015,gen-criticism
t2-1274,gen-0016,gen-criticism
t2-1275,gen-0017,gen-criticism
t2-1276,gen-0018,gen-criticism
t2-1277,gen-0019,gen-criticism
t2-1278,gen-0020,gen-criticism
t2-1279,gen-0021,gen-criticism
t2-1280,gen-0022,gen-criticism
t2-1281,gen-0023,gen-criticism
t2-1282,gen-0024,gen-criticism
t2-1283,gen-0025,gen-criticism
t2-1284,gen-0026,gen-criticism
t2-1285,gen-0027,gen-criticism
t2-1286,gen-0028,gen-criticism
t2-1287,gen-0029,gen-criticism
t2-1288,gen-0030,gen-criticism
t2-1289,gen-0031,gen-criticism
t2-1290,gen-0032,gen-criticism
t2-1291,gen-0033,gen-criticism
t2-1292,gen-0034,gen-criticism
t2-1293,gen-0035,gen-criticism
t2-1294,gen-0036,gen-criticism
t2-1295,gen-0037,gen-criticism
t2-1296,gen-0038,gen-criticism
t2-1297,gen-0039,gen-criticism
t2-1298,gen-0040,gen-criticism
t2-1299,gen-0041,gen-criticism
t2-1300,gen-0042,gen-criticism
t2-1301,gen-0043,gen-criticism
t2-1302,gen-0044,gen-criticism
t2-1303,gen-0045,gen-criticism
t2-1304,gen-0046,gen-criticism
t2-1305,gen-0047,gen-criticism
t2-1306,gen-0048,gen-criticism
t2-1307,gen-0049,gen-criticism
t2-1308,gen-0050,gen-criticism
t2-1309,gen-0051,gen-criticism
t2-1310,gen-0052,gen-criticism
t2-1311,gen-0053,gen-criticism
t2-1312,gen-0054,gen-criticism
t2-1313,gen-0055,gen-criticism
t2-1314,gen-0056,gen-criticism
t2-1315,gen-0057,gen-criticism
t2-1316,gen-0058,gen-criticism
t2-1317,gen-0059,gen-docs
t2-1318,gen-0060,gen-docs
t2-1319,gen-0061,gen-docs
t2-1320,gen-0062,gen-docs
t2-1321,gen-0063,gen-docs
t2-1322,gen-0064,gen-docs
t2-1323,gen-0065,gen-docs
t2-1324,gen-0066,gen-docs
t2-1325,gen-0067,gen-docs
t2-1326,gen-0068,gen-docs
t2-1327,gen-0069,gen-docs
t2-1328,gen-0070,gen-docs
t2-1329,gen-0071,gen-docs
t2-1330,gen-0072,gen-docs
t2-1331,gen-0073,gen-docs
t2-1332,gen-0074,gen-docs
t2-1333,gen-0075,gen-docs
t2-1334,gen-0076,gen-docs
t2-1335,gen-0077,gen-docs
t2-1336,gen-0078,gen-docs
t2-1337,gen-0079,gen-docs
t2-1338,gen-0080,gen-docs
t2-1339,gen-0081,gen-docs
t2-1340,gen-0082,gen-docs
t2-1341,gen-0083,gen-docs
t2-1342,gen-0084,gen-docs
t2-1343,gen-0085,gen-docs
t2-1344,gen-0086,gen-docs
t2-1345,gen-0087,gen-docs
t2-1346,gen-0088,gen-docs
t2-1347,gen-0089,gen-docs
t2-1348,gen-0090,gen-docs
t2-1349,gen-0091,gen-docs
t2-1350,gen-0092,gen-docs
t2-1351,gen-0093,gen-docs
t2-1352,gen-0094,gen-mixed
t2-1353,gen-0095,gen-mixed
t2-1354,gen-0096,gen-mixed
t2-1355,gen-0097,gen-mixed
t2-1356,gen-0098,gen-mixed
t2-1357,gen-0099,gen-mixed
t2-1358,gen-0100,gen-mixed
t2-1359,gen-0101,gen-mixed
